Run,adapters,Assay.Type,assembly,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center.Name,chimera_check,Collection_date,Consent,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,Depth,diss_oxygen,env_biome,env_feature,env_material,Env_package,Experiment,experimental_factor,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Investigation_type,Isolation_Source,Lat_Lon,lib_const_meth,lib_reads_seqd,lib_vector,Library.Name,LibraryLayout,LibrarySelection,LibrarySource,mid,nucl_acid_ext,Organism,Platform,project_name,ref_biomaterial,ReleaseDate,salinity,samp_collect_device,samp_mat_process,samp_size,Sample.Name,seq_meth,seq_quality_check,source_mat_id,SRA.Study,temp
1,1,1,1,202,5065548142,1,1,1,3243662460,1,1,1,1,2,1,1,16.5,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,25076971,1,1,1,2,1,4,25818237,1,1,1,25818237,1,35.51,1,1,2,1,1,1,1,1,27.27
2,1,1,1,202,5864791442,1,2,1,3758076237,1,1,1,1,2,1,1,14,3,1,1,1,1,2,1,1,1,2,1,1,1,4,1,29033621,1,3,1,2,1,7,25818237,1,1,1,25818237,1,33.8,1,1,3,3,1,1,3,1,26.8
3,1,1,1,202,43977833696,1,11,1,30956462193,1,1,2,1,2,1,1,13.3,1,1,1,1,1,3,1,1,1,5,1,1,1,3,1,217712048,1,10,1,1,2,1,22717885,1,1,1,25818237,1,34.52,1,1,5,10,1,1,10,1,26.03
4,1,1,1,202,2511282180,1,12,1,1794773039,1,1,2,1,2,1,1,28.3,2,1,1,1,1,4,1,1,1,6,1,1,1,1,1,12432090,1,12,1,1,2,6,22717885,1,1,1,25818237,1,35.81,1,1,4,12,1,1,12,1,25.08
5,1,1,1,202,6306590086,1,3,1,4032158887,1,1,1,1,2,1,1,16.2,4,1,1,1,1,5,1,1,1,3,1,1,1,2,1,31220743,1,5,1,2,1,1,25818237,1,1,1,25818237,1,34.7,1,1,3,5,1,1,5,1,26.32
6,1,1,1,202,6501094472,1,4,1,4187808307,1,1,1,1,2,1,1,6.7,5,1,1,1,1,6,1,1,1,4,1,1,1,5,1,32183636,1,7,1,2,1,6,25818237,1,1,1,25818237,1,28.9,1,1,1,7,1,1,7,1,28.8
7,1,1,1,202,12800812922,1,5,1,8182399525,1,1,2,1,2,1,1,13.3,1,1,1,1,1,7,1,1,1,5,1,1,1,3,1,63370361,1,9,1,2,1,3,25818237,1,1,1,25818237,1,34.52,1,1,5,9,1,1,9,1,26.03
8,1,1,1,202,5489779856,1,6,1,3516531298,1,1,2,1,2,1,1,28.3,2,1,1,1,1,8,1,1,1,6,1,1,1,1,1,27177128,1,11,1,2,1,5,25818237,1,1,1,25818237,1,35.81,1,1,4,11,1,1,11,1,25.08
9,1,1,1,202,263546572,1,7,1,186728182,1,1,1,1,1,1,1,16.5,6,1,1,1,1,9,1,1,1,1,1,1,1,6,1,1304686,1,2,1,1,2,2,22717885,1,1,1,25818237,1,35.51,1,1,2,2,1,1,2,1,27.27
10,1,1,1,202,929167680,1,8,1,660594975,1,1,1,1,2,1,1,14,3,1,1,1,1,10,1,1,1,2,1,1,1,4,1,4599840,1,4,1,1,2,4,22717885,1,1,1,25818237,1,33.8,1,1,3,4,1,1,4,1,26.8
11,1,1,1,202,245034080,1,9,1,172632099,1,1,1,1,1,1,1,16.2,4,1,1,1,1,11,1,1,1,3,1,1,1,2,1,1213040,1,6,1,1,2,8,22717885,1,1,1,25818237,1,34.7,1,1,3,6,1,1,6,1,26.32
12,1,1,1,202,109638126,1,10,1,74788893,1,1,1,1,1,1,1,6.7,5,1,1,1,1,12,1,1,1,4,1,1,1,5,1,542763,1,8,1,1,2,7,22717885,1,1,1,25818237,1,28.9,1,1,1,8,1,1,8,1,28.8
